date,close,portfolio_value,daily_return,position,beta,g_pos,g_neg,holding_days,target_days,cash
2023-11-16,11048.0,992151.0134000004,-0.0008942246860570435,-10,0.6,0.0,2793.153151558019,2,34,846306.0134000004
2023-11-17,8879.2,996018.0134000004,0.003897592148546236,-10,0.9,0.0,4970.720573138879,3,34,846306.0134000004
2023-11-20,10262.400000000001,994274.0134000004,-0.001750972348428359,-10,0.7,0.0,8281.269731302615,4,34,846306.0134000004
2023-11-21,11740.0,997081.0134000004,0.002823165407291661,-10,0.4,0.0,9581.412260792793,5,34,846306.0134000004
2023-11-22,15103.2,998747.0134000004,0.0016708772683566853,-10,-0.2,0.0,9090.35572111079,6,34,846306.0134000004
2023-11-23,17431.2,998933.0134000004,0.0001862333478894751,-10,-0.6,2914.4230967052054,5363.521674958844,7,34,846306.0134000004
2023-11-24,17488.2,998328.0134000004,-0.0006056462163972487,-10,-0.6,7385.0892975196375,0.0,8,34,846306.0134000004
2023-11-27,15768.3,998867.0134000004,0.0005399027100965181,-10,-0.3,11035.136582679159,0.0,9,34,846306.0134000004
2023-11-28,18859.6,998743.0134000004,-0.00012414064969257232,-10,-0.8,12293.876544532706,0.0,10,34,846306.0134000004
2023-11-29,18523.4,1001979.0134000004,0.003240072728002197,-10,-0.8,15283.410663825654,0.0,11,34,846306.0134000004
2023-11-30,21024.0,1002076.0134000004,9.680841484982494e-05,-10,-1.2,16896.57233883109,0.0,12,34,846306.0134000004
2023-12-01,22219.199999999997,1002584.0134000004,0.0005069475700514303,-10,-1.4,19780.93497102234,0.0,13,34,846306.0134000004
2023-12-04,22793.5,1003515.0134000004,0.0009286004839064166,-10,-1.5,22797.60207985624,0.0,14,34,846306.0134000004
2023-12-05,22869.6,1005512.0134000004,0.0019900051053884926,-10,-1.6,25550.203879086675,0.0,15,34,846306.0134000004
2023-12-06,23519.8,1004800.0134000004,-0.0007080969600675724,-10,-1.7,27591.726214757826,0.0,16,34,846306.0134000004
