date,P_close,Y_close,spread,beta,P_position,Y_position,daily_return
2021-01-15,6646.0,7666.0,513.1999999999998,0.8,10,-10,-0.00323544
2021-01-18,6724.0,7742.0,530.3999999999996,0.8,0,0,-0.00026695
2021-01-19,6676.0,7688.0,-243.19999999999982,0.9,-10,8,0.00095953
2021-01-20,6528.0,7542.0,-259.8000000000002,0.9,0,0,-0.00126181
2021-01-21,6584.0,7640.0,-1056.0,1.0,0,0,0.0
2021-01-22,6468.0,7548.0,-1080.0,1.0,0,0,0.0
2021-01-25,6554.0,7588.0,-1034.0,1.0,0,0,0.0
2021-01-26,6516.0,7604.0,-1848.4000000000015,1.1,0,0,0.0
2021-01-27,6742.0,7818.0,-1857.800000000001,1.1,0,0,0.0
2021-01-28,6716.0,7806.0,-2651.199999999999,1.2,0,0,0.0
2021-01-29,6772.0,7854.0,-2652.7999999999993,1.2,10,-12,0.00224289
2021-02-01,6698.0,7782.0,-2640.3999999999996,1.2,10,-12,0.00060883
2021-02-02,6670.0,7710.0,-2582.0,1.2,10,-12,0.00286563
2021-02-03,6480.0,7538.0,-2565.6000000000004,1.2,10,-12,0.00080243
2021-02-04,6534.0,7618.0,-3369.3999999999996,1.3,10,-12,-0.00205336
2021-02-05,6594.0,7722.0,-3444.6000000000004,1.3,10,-12,-0.00317456
2021-02-08,6678.0,7760.0,-3410.0,1.3,10,-12,0.00188721
2021-02-09,6904.0,7986.0,-3477.800000000001,1.3,10,-12,-0.00221722
2021-02-10,6882.0,7988.0,-3502.3999999999996,1.3,10,-12,-0.00119957
2021-02-18,7134.0,8194.0,-3518.2000000000007,1.3,10,-12,0.00023626
2021-02-19,7216.0,8282.0,-2722.3999999999996,1.2,10,-12,-0.00116136
2021-02-22,7278.0,8390.0,-2790.0,1.2,10,-12,-0.00333047
2021-02-23,7360.0,8466.0,-1952.6000000000004,1.1,10,-12,-0.00045477
2021-02-24,7482.0,8590.0,-1967.0,1.1,10,-12,-0.00132538
2021-02-25,7606.0,8748.0,-1142.0,1.0,10,-12,-0.00324851
2021-02-26,7534.0,8660.0,-1126.0,1.0,10,-12,0.00166929
2021-03-01,7578.0,8858.0,-394.1999999999998,0.9,10,-12,-0.00960229
2021-03-02,7364.0,8754.0,-514.6000000000004,0.9,0,0,-0.00091219
2021-03-03,7360.0,8816.0,-574.4000000000005,0.9,10,-9,-0.00312465
2021-03-04,7466.0,8972.0,288.39999999999964,0.8,0,0,-0.00120326
2021-03-05,7494.0,8978.0,311.59999999999945,0.8,0,0,0.0
2021-03-08,7776.0,9388.0,265.59999999999945,0.8,0,0,0.0
2021-03-09,7618.0,9348.0,139.59999999999945,0.8,0,0,0.0
2021-03-10,7792.0,9362.0,1238.6000000000004,0.7,0,0,0.0
2021-03-11,7838.0,9250.0,1363.0,0.7,0,0,0.0
2021-03-12,7970.0,9280.0,1474.0,0.7,0,0,0.0
2021-03-15,8000.0,9402.0,1418.6000000000004,0.7,0,0,0.0
2021-03-16,7874.0,9320.0,1350.0,0.7,0,0,0.0
2021-03-17,7860.0,9280.0,1364.0,0.7,0,0,0.0
2021-03-18,7780.0,9080.0,1424.0,0.7,0,0,0.0
2021-03-19,7654.0,8862.0,1450.6000000000004,0.7,0,0,0.0
2021-03-22,7802.0,8940.0,1544.0,0.7,0,0,0.0
2021-03-23,8108.0,9238.0,1641.4000000000005,0.7,-10,7,-0.00336436
2021-03-24,8046.0,9268.0,1558.4000000000005,0.7,-10,7,0.00419256
2021-03-25,8016.0,9228.0,1556.4000000000005,0.7,-10,7,0.0001006
2021-03-26,7524.0,8726.0,1415.8000000000002,0.7,-10,7,0.00707174
2021-03-29,7508.0,8680.0,1432.0,0.7,-10,7,-0.00080909
2021-03-30,7402.0,8540.0,1424.0,0.7,-10,7,0.00039987
2021-03-31,7326.0,8338.0,1489.4000000000005,0.7,-10,7,-0.00326765
2021-04-01,7558.0,8628.0,2381.2,0.6,-10,7,-0.00145371
2021-04-02,7566.0,8092.0,2710.8,0.6,-10,7,-0.01923699
2021-04-06,7736.0,8236.0,3618.0,0.5,-10,7,-0.00354204
2021-04-07,7770.0,8242.0,4473.2,0.4,-10,7,-0.00153075
2021-04-08,7656.0,8064.0,4430.4,0.4,-10,7,-0.00054533
2021-04-09,6882.0,8054.0,4465.8,0.3,-10,7,0.03948082
2021-04-12,6716.0,7946.0,3537.6,0.4,-10,7,0.00447654
2021-04-13,6774.0,8028.0,2760.0,0.5,-10,7,-2.958e-05
2021-04-14,6822.0,8070.0,2787.0,0.5,-10,7,-0.00091698
2021-04-15,6916.0,8096.0,2058.4000000000005,0.6,-10,7,-0.00374037
2021-04-16,7096.0,8248.0,2147.2,0.6,-10,7,-0.00364545
2021-04-19,7080.0,8232.0,2140.8,0.6,-10,7,0.00023862
2021-04-20,7226.0,8362.0,2208.8,0.6,-10,7,-0.0027335
2021-04-21,7432.0,8488.0,2339.2,0.6,-10,7,-0.0058707
2021-04-22,7520.0,8588.0,1508.4000000000005,0.7,-10,7,-0.00090235
2021-04-23,7652.0,8708.0,1556.4000000000005,0.7,-10,7,-0.00240844
2021-04-26,7374.0,8524.0,1407.2000000000007,0.7,-10,7,0.00750429
2021-04-27,7508.0,8636.0,1462.8000000000002,0.7,-10,7,-0.00277568
2021-04-28,7406.0,8458.0,1485.4000000000005,0.7,-10,7,-0.00113138
2021-04-29,7532.0,8506.0,1577.8000000000002,0.7,-10,7,-0.00463089
2021-04-30,7410.0,8446.0,653.1999999999998,0.8,-10,7,0.00402809
2021-05-06,7890.0,8896.0,773.1999999999998,0.8,-10,7,-0.00827459
2021-05-07,8026.0,8980.0,842.0,0.8,-10,7,-0.00390381
2021-05-10,7954.0,8850.0,874.0,0.8,-10,7,-0.00096455
2021-05-11,7998.0,8850.0,918.0,0.8,-10,7,-0.00223585
2021-05-12,8338.0,9172.0,83.19999999999891,0.9,-10,7,-0.00583641
2021-05-13,8376.0,9188.0,-812.0,1.0,0,0,0.00210707
2021-05-14,8158.0,8964.0,-806.0,1.0,-10,10,-0.00060006
2021-05-17,8086.0,8892.0,-1695.2000000000007,1.1,-10,10,0.0
2021-05-18,8268.0,9120.0,-1764.0,1.1,-10,10,0.00235292
2021-05-19,8142.0,8970.0,-1725.0,1.1,-10,10,-0.00122473
2021-05-20,8102.0,8880.0,-1666.0,1.1,-10,10,-0.00255465
2021-05-21,7650.0,8512.0,-2564.3999999999996,1.2,-10,10,0.00430281
2021-05-24,7568.0,8486.0,-2615.199999999999,1.2,-10,10,0.00285625
2021-05-25,7626.0,8576.0,-3522.800000000001,1.3,-10,10,0.00162749
2021-05-26,7710.0,8640.0,-4386.0,1.4,-10,10,-0.00101553
2021-05-27,7464.0,8432.0,-4340.799999999999,1.4,-10,10,0.00193147
2021-05-28,7634.0,8606.0,-4414.4,1.4,-10,10,0.00020292
2021-05-31,7546.0,8546.0,-4418.4,1.4,-10,10,0.00142016
2021-06-01,7590.0,8636.0,-3636.800000000001,1.3,-10,10,0.0023298
2021-06-02,7808.0,8834.0,-3676.2000000000007,1.3,-10,10,-0.0010106
2021-06-03,8134.0,9112.0,-3711.6000000000004,1.3,-10,10,-0.0024279
2021-06-04,7942.0,8932.0,-3669.6000000000004,1.3,-10,10,0.00060845
2021-06-07,7964.0,9006.0,-2843.199999999999,1.2,-10,10,0.00263503
2021-06-08,7656.0,8736.0,-2827.199999999999,1.2,-10,10,0.00192054
2021-06-09,7664.0,8722.0,-2802.3999999999996,1.2,-10,10,-0.00110976
2021-06-10,7690.0,8812.0,-2884.3999999999996,1.2,-10,10,0.00323197
2021-06-11,7432.0,8628.0,-2921.6000000000004,1.2,-10,10,0.00372493
2021-06-15,7052.0,8254.0,-2852.7999999999993,1.2,-10,10,0.0003009
2021-06-16,6882.0,8038.0,-2763.6000000000004,1.2,-10,10,-0.00230621
2021-06-17,6918.0,8032.0,-2720.3999999999996,1.2,-10,10,-0.00211054
2021-06-18,6694.0,7790.0,-2654.0,1.2,-10,10,-0.00090643
2021-06-21,6816.0,7920.0,-2688.0,1.2,-10,10,0.00040322
2021-06-22,6922.0,8038.0,-2723.6000000000004,1.2,-10,10,0.00060459
2021-06-23,6984.0,8166.0,-2815.199999999999,1.2,-10,10,0.00332324
2021-06-24,6860.0,8078.0,-2833.6000000000004,1.2,-10,10,0.00180667
2021-06-25,7018.0,8204.0,-2826.7999999999993,1.2,-10,10,-0.00160303
2021-06-28,7068.0,8152.0,-2714.3999999999996,1.2,-10,10,-0.00511788
2021-06-29,7034.0,8130.0,-2722.0,1.2,-10,10,0.0006052
2021-06-30,7230.0,8282.0,-2708.3999999999996,1.2,-10,10,-0.00221773
2021-07-01,7480.0,8514.0,-2736.7999999999993,1.2,-10,10,-0.00090927
2021-07-02,7608.0,8594.0,-2704.7999999999993,1.2,-10,10,-0.00242692
2021-07-05,7612.0,8542.0,-1784.2000000000007,1.1,-10,10,-0.0028383
2021-07-06,7746.0,8626.0,-1742.6000000000004,1.1,-10,10,-0.00254141
2021-07-07,7598.0,8490.0,-1741.0,1.1,-10,10,0.00061149
2021-07-08,7610.0,8528.0,-1770.800000000001,1.1,-10,10,0.00132409
2021-07-09,7814.0,8634.0,-1683.4000000000015,1.1,-10,10,-0.0049842
2021-07-12,7770.0,8644.0,-1738.4000000000015,1.1,-10,10,0.00276015
2021-07-13,7802.0,8772.0,-2724.3999999999996,1.2,-10,10,0.00489343
2021-07-14,7890.0,8850.0,-2730.0,1.2,-10,10,-0.00050725
2021-07-15,7970.0,8902.0,-2712.3999999999996,1.2,-10,10,-0.00142102
2021-07-16,8054.0,8912.0,-2640.3999999999996,1.2,-10,10,-0.0037609
2021-07-19,8118.0,8950.0,-2622.0,1.2,-10,10,-0.00132639
2021-07-20,8208.0,9044.0,-2644.7999999999993,1.2,-10,10,0.00020433
2021-07-21,8084.0,8936.0,-2639.199999999999,1.2,-10,10,0.00081715
2021-07-22,8106.0,8884.0,-3443.2000000000007,1.3,-10,10,-0.00377625
2021-07-23,8326.0,8988.0,-3358.3999999999996,1.3,-10,10,-0.00594197
2021-07-26,8366.0,8968.0,-3292.3999999999996,1.3,-10,10,-0.0030918
2021-07-27,8536.0,9156.0,-4282.4,1.4,-10,10,0.00093042
2021-07-28,8408.0,8942.0,-4110.799999999999,1.4,-10,10,-0.0044412
2021-07-29,8496.0,8986.0,-4084.3999999999996,1.4,-10,10,-0.00228238
2021-07-30,8604.0,8978.0,-3965.199999999999,1.4,-10,10,-0.00603094
2021-08-02,8150.0,8636.0,-4804.0,1.5,-10,10,0.00585831
2021-08-03,8188.0,8646.0,-4781.0,1.5,-10,10,-0.00145605
2021-08-04,8422.0,8820.0,-4808.0,1.5,-10,10,-0.00312465
2021-08-05,8426.0,8868.0,-4876.0,1.5,-10,10,0.00229859
2021-08-06,8486.0,8906.0,-4873.0,1.5,-10,10,-0.00114666
2021-08-09,8530.0,8980.0,-4940.0,1.5,-10,10,0.00156542
2021-08-10,8660.0,9040.0,-4900.0,1.5,-10,10,-0.00364695
2021-08-11,8994.0,9290.0,-5870.0,1.6,-10,10,-0.00439235
2021-08-12,9004.0,8944.0,-5306.4000000000015,1.6,-10,10,-0.01869734
2021-08-13,8908.0,8924.0,-5370.4000000000015,1.6,-10,10,0.00406762
2021-08-16,8298.0,9076.0,-6223.6,1.6,-10,10,0.04061802
2021-08-17,8418.0,9188.0,-5364.0,1.5,-10,10,-0.00040979
2021-08-18,8166.0,9024.0,-4467.5999999999985,1.4,-10,10,0.00450955
2021-08-19,8172.0,9024.0,-3559.2000000000007,1.3,-10,10,-0.00030609
2021-08-20,8060.0,8976.0,-2711.199999999999,1.2,-10,10,0.00326595
2021-08-23,8084.0,8936.0,-1745.6000000000004,1.1,-10,10,-0.00325532
2021-08-24,8168.0,8990.0,-822.0,1.0,-10,10,-0.00153091
2021-08-25,8290.0,9110.0,91.0,0.9,-10,10,-0.00010222
2021-08-26,8258.0,9104.0,1885.2000000000007,0.7,0,0,-0.00019118
2021-08-27,8266.0,9074.0,2821.6000000000004,0.6,10,-7,0.00181653
2021-08-30,8206.0,9012.0,2798.8,0.6,10,-7,-0.00084711
2021-08-31,8306.0,9120.0,3746.0,0.5,10,-7,0.00124621
2021-09-01,8054.0,8940.0,3584.0,0.5,10,-7,-0.00642735
2021-09-02,8016.0,8910.0,3561.0,0.5,10,-7,-0.00087279
2021-09-03,8318.0,9152.0,3742.0,0.5,10,-7,0.00681372
2021-09-06,8350.0,9162.0,3769.0,0.5,10,-7,0.00127594
2021-09-07,8392.0,9206.0,3789.0,0.5,10,-7,0.00057089
2021-09-08,8442.0,9192.0,4765.2,0.4,10,-7,0.00304643
2021-09-09,8488.0,9168.0,4820.799999999999,0.4,10,-7,0.00318954
2021-09-10,8154.0,8958.0,4570.799999999999,0.4,10,-7,-0.00946733
2021-09-13,8268.0,9004.0,3766.0,0.5,10,-7,0.00418091
2021-09-14,8278.0,8978.0,4686.799999999999,0.4,10,-7,0.00143534
2021-09-15,8442.0,9030.0,4830.0,0.4,10,-7,0.00648534
2021-09-16,8564.0,9110.0,4009.0,0.5,10,-7,0.00333287
2021-09-17,8190.0,8864.0,1985.2000000000007,0.7,10,-7,-0.01015666
2021-09-22,8368.0,8930.0,1224.0,0.8,10,-7,0.0067016
2021-09-23,8664.0,9176.0,1323.1999999999998,0.8,10,-7,0.00625292
2021-09-24,8706.0,9222.0,406.1999999999989,0.9,10,-7,0.00049191
2021-09-27,8580.0,9090.0,2217.0,0.7,0,0,-0.00085855
2021-09-28,8650.0,9174.0,-524.0,1.0,-10,7,-0.00063742
2021-09-29,8614.0,9142.0,-4184.799999999999,1.4,0,0,0.00042677
2021-09-30,8888.0,9356.0,-4210.4,1.4,0,0,0.0
2021-10-08,9410.0,9714.0,-6132.4000000000015,1.6,0,0,0.0
