date,J-JM,OI-Y,L-MA,P-Y
2017-10-31,0.00245381,0.00133257,0.00519806,-5.924e-05
2017-11-01,-0.00065611,-0.00053629,0.0037051,-0.00275482
2017-11-02,-0.00315645,-0.00021861,-0.00321943,0.00106933
2017-11-03,5.066e-05,0.00095412,-0.00094702,-0.00162206
2017-11-06,-0.0005826,-0.00059576,-0.0033227,-0.00064393
2017-11-07,0.00017742,-0.00025832,-0.00041046,-5.948e-05
2017-11-08,0.00179918,5.963e-05,0.00226349,-0.00167541
2017-11-09,-0.00366778,-0.00041736,-0.0022284,0.00405156
2017-11-10,-0.00134557,0.00012029,0.00321486,-0.00294729
2017-11-13,-0.00177957,0.00074194,0.00487173,0.00162679
2017-11-14,0.00013131,-0.00160911,0.00088915,-0.00085093
2017-11-15,0.00037344,-0.0016316,0.00314649,-0.00067464
2017-11-16,0.00065164,0.00186347,0.00469008,0.00028764
2017-11-17,0.00077078,-0.00144225,0.00232425,-0.00094198
2017-11-20,0.0016573,-0.00235077,-0.00384184,-0.00021835
2017-11-21,-0.00033751,-0.00840683,0.00216998,0.00184645
2017-11-22,-0.00016247,-0.0006572,-0.0007923,-0.00459771
2017-11-23,0.0002137,-0.00095826,0.0029156,-0.00053755
2017-11-24,0.0,0.00079674,-0.00278436,0.00098604
2017-11-27,0.0,-0.00063487,0.00427438,0.00039784
2017-11-28,0.0,-0.00016134,0.00189763,0.00098524
2017-11-29,0.0,-0.00043367,0.00666583,4.031e-05
2017-11-30,0.0,0.0015639,0.00450197,0.0
2017-12-01,0.0,-0.00950978,0.00164558,0.0
2017-12-04,0.0,-0.00025427,0.00017878,0.0
2017-12-05,0.0,-0.00222794,0.00988451,0.0
2017-12-06,0.0,0.00111136,0.00299948,0.0
2017-12-07,0.0,0.00083514,-0.0008776,0.0
2017-12-08,0.0,0.00138395,-0.00297881,0.0
2017-12-11,0.0,0.00039632,-0.02027717,0.0
2017-12-12,0.0,-0.00038601,0.00110937,0.0
2017-12-13,0.0,0.00031502,0.00445209,0.0
2017-12-14,0.0,-0.00076191,-0.00127819,0.0
2017-12-15,0.0,0.00119965,0.00161073,0.0
2017-12-18,0.0,0.00107636,-0.00040811,0.0
2017-12-19,0.0,-0.0010752,-0.00957503,0.00093556
2017-12-20,0.0,0.00028432,0.00103056,0.00121106
2017-12-21,0.0,-0.00105575,-0.0037454,0.00013881
2017-12-22,0.0,-0.00126011,0.00237182,0.00142752
2017-12-25,0.0,0.00131257,-0.00025528,9.9e-06
2017-12-26,0.0,-0.00070115,-0.01009086,-9.9e-06
2017-12-27,0.0,-0.0013016,-0.00072423,-0.00019534
2017-12-28,0.0,-0.0015884,-0.00260116,0.00030506
2017-12-29,0.0,0.0005813,-0.00080627,-0.00076389
2018-01-02,-0.00106887,0.00097846,-0.00179316,0.0
2018-01-03,0.0008284,0.00024567,-0.0021856,0.0
2018-01-04,-0.00289446,0.00106388,0.00129023,0.0
2018-01-05,0.0010542,-0.00036087,-1.498e-05,0.0
2018-01-08,0.00040699,0.0,0.00652284,-0.00012875
2018-01-09,0.00052379,0.0,0.00047637,-0.00136716
2018-01-10,0.00071157,0.0,-0.00471676,0.00194442
2018-01-11,0.00099041,0.0,-0.00340857,-0.00037625
2018-01-12,-0.00097928,0.0,-0.00520535,0.00136689
2018-01-15,0.00024379,0.0,0.00047752,0.00027696
2018-01-16,-0.00177213,0.0,0.00266277,0.00100865
2018-01-17,0.0004222,0.0,0.00241519,0.00148182
